card1,card2,board,score
A of Hearts,9 of Spades,8 of Spades | J of Hearts | 5 of Clubs | A of Clubs | 3 of Clubs,3434
6 of Hearts,2 of Spades,4 of Hearts | 10 of Spades | A of Spades | 7 of Diamonds | 9 of Spades,6560
J of Spades,J of Hearts,5 of Clubs | 8 of Diamonds | Q of Clubs | 2 of Diamonds | A of Hearts,3998
9 of Diamonds,6 of Spades,K of Hearts | 8 of Clubs | 10 of Diamonds | 2 of Clubs | 6 of Clubs,5158
3 of Diamonds,J of Spades,A of Hearts | J of Clubs | Q of Clubs | 10 of Spades | 4 of Spades,3996
5 of Diamonds,J of Hearts,4 of Spades | J of Spades | K of Hearts | 10 of Hearts | Q of Clubs,4041
2 of Diamonds,9 of Hearts,A of Diamonds | 2 of Hearts | 8 of Hearts | J of Diamonds | 7 of Hearts,5986
10 of Spades,Q of Clubs,7 of Hearts | 5 of Spades | 9 of Hearts | 8 of Hearts | A of Diamonds,6386
K of Hearts,3 of Diamonds,A of Hearts | 2 of Clubs | 8 of Diamonds | 2 of Spades | 10 of Spades,5968
7 of Spades,5 of Spades,J of Spades | 7 of Clubs | 7 of Diamonds | 4 of Clubs | Q of Hearts,2093
6 of Clubs,4 of Clubs,Q of Spades | 5 of Diamonds | 9 of Clubs | 6 of Spades | 7 of Clubs,5202
Q of Diamonds,K of Diamonds,2 of Clubs | K of Hearts | 10 of Hearts | 7 of Spades | 4 of Hearts,3612
6 of Diamonds,A of Hearts,7 of Diamonds | 5 of Spades | 9 of Hearts | J of Spades | A of Diamonds,3435
K of Clubs,6 of Spades,5 of Spades | 7 of Diamonds | 7 of Hearts | 2 of Hearts | J of Hearts,4933
J of Spades,3 of Spades,7 of Diamonds | 9 of Spades | Q of Diamonds | 9 of Clubs | 10 of Diamonds,4526
K of Clubs,2 of Diamonds,Q of Clubs | 5 of Clubs | 7 of Clubs | 4 of Diamonds | 6 of Clubs,915
3 of Hearts,3 of Diamonds,J of Clubs | 7 of Diamonds | 5 of Spades | 2 of Hearts | 4 of Hearts,5901
8 of Diamonds,6 of Diamonds,8 of Spades | Q of Diamonds | 10 of Spades | 6 of Hearts | A of Hearts,3106
8 of Spades,10 of Diamonds,2 of Clubs | A of Clubs | 3 of Diamonds | 7 of Diamonds | K of Diamonds,6273
J of Diamonds,8 of Hearts,Q of Diamonds | Q of Spades | 7 of Clubs | 7 of Spades | 10 of Spades,2767
